"id";"scientific.name";"accepted.name";"family";"taxon.rank";"taxon.status";"search.str";"threat.status";"notes";"original.search";"life.form"
"35";30601;"Monotagma densiflorum (Körn.) K.Schum.";NA;"Marantaceae";"species";"accepted";"Monotagma densiflorum";NA;"was misspelled";"Monotagma_densiflorum";"Erva"
"36";9368;"Monotagma plurispicatum (Körn.) K.Schum.";NA;"Marantaceae";"species";"accepted";"Monotagma plurispicatum";"LC";"was misspelled";"Monotagma_plurispicatum";"Erva"
"37";19590;"Monotagma spicatum (Aubl.) J.F.Macbr.";NA;"Marantaceae";"species";"accepted";"Monotagma spicatum";NA;"was misspelled";"Monotagma_spicatum";"Erva"
"38";137942;"Monotagma vaginatum Hagberg";NA;"Marantaceae";"species";"accepted";"Monotagma vaginatum";NA;"was misspelled";"Monotagma_vaginatum";"Erva"
"39";38035;"Palmorchis sobralioides Barb.Rodr.";NA;"Orchidaceae";"species";"accepted";"Palmorchis sobralioides";NA;"was misspelled";"Palmorchis_sobralioides";"Erva"
"40";137546;"Aspidogyne stigmatoptera (Rchb.f.) Meneguzzo";NA;"Orchidaceae";"species";"accepted";"Aspidogyne stigmatoptera";NA;"was misspelled|replaced synonym";"Ligeophila_stigmatoptera";"Erva"
"41";24295;"Ichnanthus panicoides P. Beauv.";NA;"Poaceae";"species";"accepted";"Ichnanthus panicoides";NA;"was misspelled";"Ichnanthus_panicoides";"Erva"
"42";13368;"Olyra latifolia L.";NA;"Poaceae";"species";"accepted";"Olyra latifolia";NA;"was misspelled";"Olyra_latifolia";"Erva"
"43";86963;"Pariana campestris Aubl.";NA;"Poaceae";"species";"accepted";"Pariana campestris";NA;"was misspelled";"Pariana_campestris";"Erva|Subarbusto"
"44";NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Pariana_graciles";NA
"45";86975;"Pariana radiciflora Sagot ex Döll";NA;"Poaceae";"species";"accepted";"Pariana radiciflora";NA;"was misspelled";"Pariana_radiciflora";"Erva"
"46";20644;"Rapatea paludosa Aubl.";NA;"Rapateaceae";"species";"accepted";"Rapatea paludosa";NA;"was misspelled";"Rapatea_paludosa";"Erva"
"47";38631;"Spathanthus unilateralis (Rudge) Desv.";NA;"Rapateaceae";"species";"accepted";"Spathanthus unilateralis";NA;"was misspelled";"Spathanthus_unilateralis";"Erva"
"48";32493;"Saxofridericia aculeata Körn.";NA;"Rapateaceae";"species";"accepted";"Saxofridericia aculeata";NA;"was misspelled|replaced synonym";"Saxofridericia_subcordata";"Erva"
"49";24924;"Phenakospermum guyannense (A.Rich.) Endl. ex Miq.";NA;"Strelitziaceae";"species";"accepted";"Phenakospermum guyannense";NA;"was misspelled";"Phenakospermum_guyanense";"Erva"
"50";39558;"Thurnia sphaerocephala (Rudge) Hook.f.";NA;"Thurniaceae";"species";"accepted";"Thurnia sphaerocephala";NA;"was misspelled";"Thurnia_sphaerocephala";"Erva"
"51";110717;"Renealmia floribunda K.Schum.";NA;"Zingiberaceae";"species";"accepted";"Renealmia floribunda";NA;"was misspelled";"Renealmia_floribunda";"Erva"
