amostragem;amostra;site;lat;lon;date;Species;Sepal.Lenght;Sepal.Width;Petal.Lenght;Petal.Width
A28;A50;2;48.540502;-64.766512;13/02/1930;Iris_setosa;5;3.3;1.4;0.2
A7;A36;1;48.935966;-64.840984;01/12/1929;Iris_setosa;5;3.2;1.2;0.2
A47;A7;3;48.329837;-65.512333;01/12/1929;Iris_setosa;4.6;3.4;1.4;0.3
A37;A28;3;48.329837;-65.512333;01/12/1929;Iris_setosa;5.2;3.5;1.5;0.2
A91;A73;3;48.329837;-65.512333;01/12/1929;Iris_versicolor;6.3;2.5;4.9;1.5
A96;A88;3;48.329837;-65.512333;01/12/1929;Iris_versicolor;6.3;2.3;4.4;1.3
A72;A65;2;48.540502;-64.766512;13/02/1930;Iris_versicolor;5.6;2.9;3.6;1.3
A66;A96;1;48.935966;-64.840984;01/12/1929;Iris_versicolor;5.7;3;4.2;1.2
A86;A58;3;48.329837;-65.512333;01/12/1929;Iris_versicolor;4.9;2.4;3.3;1
A78;A83;2;48.540502;-64.766512;13/02/1930;Iris_versicolor;5.8;2.7;3.9;1.2
A102;A105;1;48.935966;-64.840984;01/12/1929;Iris_virginica;6.5;3;5.8;2.2
A118;A101;2;48.540502;-64.766512;13/02/1930;Iris_virginica;6.3;3.3;6;2.5
A67;A99;1;48.935966;-64.840984;01/12/1929;Iris_versicolor;5.1;2.5;3;1.1
A11;A48;1;48.935966;-64.840984;01/12/1929;Iris_setosa;4.6;3.2;1.4;0.2
A114;A141;1;48.935966;-64.840984;01/12/1929;Iris_virginica;6.7;3.1;5.6;2.4
A101;A102;1;48.935966;-64.840984;01/12/1929;Iris_virginica;5.8;2.7;5.1;1.9
A3;A24;1;48.935966;-64.840984;01/12/1929;Iris_setosa;5.1;3.3;1.7;0.5
A10;A45;1;48.935966;-64.840984;01/12/1929;Iris_setosa;5.1;3.8;1.7;0.4
A124;A119;2;48.540502;-64.766512;13/02/1930;Iris_virginica;7.7;2.6;6.9;2.3
A33;A14;2;48.540502;-64.766512;13/02/1930;Iris_setosa;4.3;3;1.1;0.1
A120;A107;2;48.540502;-64.766512;13/02/1930;Iris_virginica;4.9;2.5;4.5;1.7
A23;A35;2;48.540502;-64.766512;13/02/1930;Iris_setosa;4.9;3.1;1.5;0.2
A133;A146;2;48.540502;-64.766512;13/02/1930;Iris_virginica;6.7;3;5.2;2.3
A140;A118;3;48.329837;-65.512333;01/12/1929;Iris_virginica;7.7;3.8;6.7;2.2
A43;A46;3;48.329837;-65.512333;01/12/1929;Iris_setosa;4.8;3;1.4;0.3
A147;A139;3;48.329837;-65.512333;01/12/1929;Iris_virginica;6;3;4.8;1.8
A148;A142;3;48.329837;-65.512333;01/12/1929;Iris_virginica;6.9;3.1;5.1;2.3
A106;A117;1;48.935966;-64.840984;01/12/1929;Iris_virginica;6.5;3;5.5;1.8
A122;A113;2;48.540502;-64.766512;13/02/1930;Iris_virginica;6.8;3;5.5;2.1
A40;A37;3;48.329837;-65.512333;01/12/1929;Iris_setosa;5.5;3.5;1.3;0.2
A99;A97;3;48.329837;-65.512333;01/12/1929;Iris_versicolor;5.7;2.9;4.2;2.3
A107;A120;1;48.935966;-64.840984;01/12/1929;Iris_virginica;6;2.2;5;1.5
A50;A16;3;48.329837;-65.512333;01/12/1929;Iris_setosa;5.7;4.4;1.5;0.4
A90;A70;3;48.329837;-65.512333;01/12/1929;Iris_versicolor;5.6;2.5;3.9;1.1
A5;A30;1;48.935966;-64.840984;01/12/1929;Iris_setosa;4.7;3.2;1.6;0.2
A62;A84;1;48.935966;-64.840984;01/12/1929;Iris_versicolor;6;2.7;5.1;1.6
A135;A103;3;48.329837;-65.512333;01/12/1929;Iris_virginica;7.1;3;5.9;2.1
A143;A127;3;48.329837;-65.512333;01/12/1929;Iris_virginica;6.2;2.8;4.8;1.8
A81;A92;2;48.540502;-64.766512;13/02/1930;Iris_versicolor;6.1;3;4.6;1.4
A41;A40;3;48.329837;-65.512333;01/12/1929;Iris_setosa;5.1;3.4;1.5;0.2
A80;A89;2;48.540502;-64.766512;13/02/1930;Iris_versicolor;5.6;3;4.1;1.3
A82;A95;2;48.540502;-64.766512;13/02/1930;Iris_versicolor;5.6;2.7;4.2;1.3
A6;A33;1;48.935966;-64.840984;01/12/1929;Iris_setosa;5.2;4.1;1.5;0.1
A14;A9;1;48.935966;-64.840984;01/12/1929;Iris_setosa;4.4;2.9;1.4;0.2
A18;A20;2;48.540502;-64.766512;13/02/1930;Iris_setosa;5.1;3.8;1.5;0.3
A48;A10;3;48.329837;-65.512333;01/12/1929;Iris_setosa;4.9;3.1;1.5;0.1
A49;A134;3;48.329837;-65.512333;01/12/1929;Iris_setosa;4.8;3;1.4;0.1
A63;A87;1;48.935966;-64.840984;01/12/1929;Iris_versicolor;6.7;3.1;4.7;1.5
A70;A59;2;48.540502;-64.766512;13/02/1930;Iris_versicolor;6.6;2.9;4.6;1.3
A73;A68;2;48.540502;-64.766512;13/02/1930;Iris_versicolor;5.8;2.7;4.1;1
A79;A86;2;48.540502;-64.766512;13/02/1930;Iris_versicolor;6;3.4;4.5;1.6
A83;A98;2;48.540502;-64.766512;13/02/1930;Iris_versicolor;6.2;2.9;4.3;1.3
A87;A61;3;48.329837;-65.512333;01/12/1929;Iris_versicolor;5;2;3.5;1
A100;A100;3;48.329837;-65.512333;01/12/1929;Iris_versicolor;5.7;2.8;4.1;1.3
A129;A134;2;48.540502;-64.766512;13/02/1930;Iris_virginica;6.3;2.8;5.1;1.5
A137;A109;3;48.329837;-65.512333;01/12/1929;Iris_virginica;6.7;2.5;5.8;1.8
A149;A145;3;48.329837;-65.512333;01/12/1929;Iris_virginica;6.7;3.3;5.7;2.5
A45;A1;3;48.329837;-65.512333;01/12/1929;Iris_setosa;5.1;3.5;1.4;0.2
A30;A5;2;48.540502;-64.766512;13/02/1930;Iris_setosa;5;3.6;1.4;0.2
A16;A15;1;48.935966;-64.840984;01/12/1929;Iris_setosa;5.8;4;1.2;0.2
A2;A21;1;48.935966;-64.840984;01/12/1929;Iris_setosa;5.4;3.4;1.7;0.2
A20;A26;2;48.540502;-64.766512;13/02/1930;Iris_setosa;5;3;1.6;0.2
A24;A38;2;48.540502;-64.766512;13/02/1930;Iris_setosa;4.9;3.6;1.4;0.1
A25;A41;2;48.540502;-64.766512;13/02/1930;Iris_setosa;5;3.5;1.3;0.3
A57;A69;1;48.935966;-64.840984;01/12/1929;Iris_versicolor;6.2;2.2;4.5;1.5
A103;A108;1;48.935966;-64.840984;01/12/1929;Iris_virginica;7.3;2.9;6.3;1.8
A126;A125;2;48.540502;-64.766512;13/02/1930;Iris_virginica;6.7;3.3;5.7;2.1
A112;A135;1;48.935966;-64.840984;01/12/1929;Iris_virginica;6.1;2.6;5.6;1.4
A146;A136;3;48.329837;-65.512333;01/12/1929;Iris_virginica;7.7;3;6.1;2.3
A131;A140;2;48.540502;-64.766512;13/02/1930;Iris_virginica;6.9;3.1;5.4;2.1
A115;A144;1;48.935966;-64.840984;01/12/1929;Iris_virginica;6.8;3.2;5.9;2.3
A134;A149;2;48.540502;-64.766512;13/02/1930;Iris_virginica;6.2;3.4;5.4;2.3
A94;A82;3;48.329837;-65.512333;01/12/1929;Iris_versicolor;5.5;2.4;3.7;1
A35;A22;3;48.329837;-65.512333;01/12/1929;Iris_setosa;5.1;3.7;1.5;0.4
A84;A52;3;48.329837;-65.512333;01/12/1929;Iris_versicolor;6.4;3.2;4.5;1.5
A19;A23;2;48.540502;-64.766512;13/02/1930;Iris_setosa;4.6;3.6;1;0.2
A27;A47;2;48.540502;-64.766512;13/02/1930;Iris_setosa;5.1;3.8;1.6;0.2
A60;A78;1;48.935966;-64.840984;01/12/1929;Iris_versicolor;6.7;3;5;1.7
A77;A80;2;48.540502;-64.766512;13/02/1930;Iris_versicolor;5.7;2.6;3.5;1
A88;A64;3;48.329837;-65.512333;01/12/1929;Iris_versicolor;6.1;2.9;4.7;1.4
A123;A116;2;48.540502;-64.766512;13/02/1930;Iris_virginica;6.4;3.2;5.3;2.3
A21;A29;2;48.540502;-64.766512;13/02/1930;Iris_setosa;5.2;3.4;1.4;0.2
A125;A122;2;48.540502;-64.766512;13/02/1930;Iris_virginica;5.6;2.8;4.9;2
A138;A112;3;48.329837;-65.512333;01/12/1929;Iris_virginica;6.4;2.7;5.3;1.9
A71;A62;2;48.540502;-64.766512;13/02/1930;Iris_versicolor;5.9;3;4.2;1.5
A17;A17;2;48.540502;-64.766512;13/02/1930;Iris_setosa;5.4;3.9;1.3;0.4
A68;A53;2;48.540502;-64.766512;13/02/1930;Iris_versicolor;6.9;3.1;4.9;1.5
