"","eventID","occurrenceID","scientificName","acceptedNameUsageID","recordedBy","taxonRank","organismQuantityType","basisOfRecord"
"26","2_13/02/1930","2_13/02/1930_A74","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"27","2_13/02/1930","2_13/02/1930_A137","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"28","2_13/02/1930","2_13/02/1930_A110","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"29","3_01/12/1929","3_01/12/1929_A43","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"30","3_01/12/1929","3_01/12/1929_A124","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"31","1_01/12/1929","1_01/12/1929_A39","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"32","2_13/02/1930","2_13/02/1930_A39","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"33","3_01/12/1929","3_01/12/1929_A25","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"34","3_01/12/1929","3_01/12/1929_A34","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"35","3_01/12/1929","3_01/12/1929_A49","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"36","3_01/12/1929","3_01/12/1929_A4","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"37","1_01/12/1929","1_01/12/1929_A57","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"38","1_01/12/1929","1_01/12/1929_A66","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"39","2_13/02/1930","2_13/02/1930_A71","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"40","1_01/12/1929","1_01/12/1929_A111","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"41","1_01/12/1929","1_01/12/1929_A138","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"42","2_13/02/1930","2_13/02/1930_A104","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"43","2_13/02/1930","2_13/02/1930_A128","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"44","2_13/02/1930","2_13/02/1930_A143","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"45","3_01/12/1929","3_01/12/1929_A148","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"46","1_01/12/1929","1_01/12/1929_A3","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"47","2_13/02/1930","2_13/02/1930_A8","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"48","3_01/12/1929","3_01/12/1929_A31","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"49","2_13/02/1930","2_13/02/1930_A50","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"50","1_01/12/1929","1_01/12/1929_A36","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"51","3_01/12/1929","3_01/12/1929_A7","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"52","3_01/12/1929","3_01/12/1929_A28","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"53","3_01/12/1929","3_01/12/1929_A73","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"54","3_01/12/1929","3_01/12/1929_A88","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"55","2_13/02/1930","2_13/02/1930_A65","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"56","1_01/12/1929","1_01/12/1929_A96","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"57","3_01/12/1929","3_01/12/1929_A58","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"58","2_13/02/1930","2_13/02/1930_A83","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"59","1_01/12/1929","1_01/12/1929_A105","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"60","2_13/02/1930","2_13/02/1930_A101","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"61","1_01/12/1929","1_01/12/1929_A99","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"62","1_01/12/1929","1_01/12/1929_A48","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"63","1_01/12/1929","1_01/12/1929_A141","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"64","1_01/12/1929","1_01/12/1929_A102","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"65","1_01/12/1929","1_01/12/1929_A24","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"66","1_01/12/1929","1_01/12/1929_A45","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"67","2_13/02/1930","2_13/02/1930_A119","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"68","2_13/02/1930","2_13/02/1930_A14","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"69","2_13/02/1930","2_13/02/1930_A107","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"70","2_13/02/1930","2_13/02/1930_A35","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"71","2_13/02/1930","2_13/02/1930_A146","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"72","3_01/12/1929","3_01/12/1929_A118","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"73","3_01/12/1929","3_01/12/1929_A46","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"74","3_01/12/1929","3_01/12/1929_A139","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"75","3_01/12/1929","3_01/12/1929_A142","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"76","1_01/12/1929","1_01/12/1929_A117","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"77","2_13/02/1930","2_13/02/1930_A113","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"78","3_01/12/1929","3_01/12/1929_A37","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"79","3_01/12/1929","3_01/12/1929_A97","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"80","1_01/12/1929","1_01/12/1929_A120","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"81","3_01/12/1929","3_01/12/1929_A16","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"82","3_01/12/1929","3_01/12/1929_A70","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"83","1_01/12/1929","1_01/12/1929_A30","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"84","1_01/12/1929","1_01/12/1929_A84","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"85","3_01/12/1929","3_01/12/1929_A103","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"86","3_01/12/1929","3_01/12/1929_A127","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"87","2_13/02/1930","2_13/02/1930_A92","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"88","3_01/12/1929","3_01/12/1929_A40","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"89","2_13/02/1930","2_13/02/1930_A89","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"90","2_13/02/1930","2_13/02/1930_A95","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"91","1_01/12/1929","1_01/12/1929_A33","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"92","1_01/12/1929","1_01/12/1929_A9","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"93","2_13/02/1930","2_13/02/1930_A20","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"94","3_01/12/1929","3_01/12/1929_A10","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"95","3_01/12/1929","3_01/12/1929_A134","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"96","1_01/12/1929","1_01/12/1929_A87","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"97","2_13/02/1930","2_13/02/1930_A59","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"98","2_13/02/1930","2_13/02/1930_A68","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"99","2_13/02/1930","2_13/02/1930_A86","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"100","2_13/02/1930","2_13/02/1930_A98","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"101","3_01/12/1929","3_01/12/1929_A61","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"102","3_01/12/1929","3_01/12/1929_A100","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"103","2_13/02/1930","2_13/02/1930_A134","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"104","3_01/12/1929","3_01/12/1929_A109","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"105","3_01/12/1929","3_01/12/1929_A145","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"106","3_01/12/1929","3_01/12/1929_A1","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"107","2_13/02/1930","2_13/02/1930_A5","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"108","1_01/12/1929","1_01/12/1929_A15","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"109","1_01/12/1929","1_01/12/1929_A21","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"110","2_13/02/1930","2_13/02/1930_A26","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"111","2_13/02/1930","2_13/02/1930_A38","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"112","2_13/02/1930","2_13/02/1930_A41","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"113","1_01/12/1929","1_01/12/1929_A69","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"114","1_01/12/1929","1_01/12/1929_A108","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"115","2_13/02/1930","2_13/02/1930_A125","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"116","1_01/12/1929","1_01/12/1929_A135","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"117","3_01/12/1929","3_01/12/1929_A136","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"118","2_13/02/1930","2_13/02/1930_A140","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"119","1_01/12/1929","1_01/12/1929_A144","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"120","2_13/02/1930","2_13/02/1930_A149","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"121","3_01/12/1929","3_01/12/1929_A82","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"122","3_01/12/1929","3_01/12/1929_A22","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"123","3_01/12/1929","3_01/12/1929_A52","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"124","2_13/02/1930","2_13/02/1930_A23","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"125","2_13/02/1930","2_13/02/1930_A47","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"126","1_01/12/1929","1_01/12/1929_A78","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"127","2_13/02/1930","2_13/02/1930_A80","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"128","3_01/12/1929","3_01/12/1929_A64","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"129","2_13/02/1930","2_13/02/1930_A116","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"130","2_13/02/1930","2_13/02/1930_A29","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"131","2_13/02/1930","2_13/02/1930_A122","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"132","3_01/12/1929","3_01/12/1929_A112","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"133","2_13/02/1930","2_13/02/1930_A62","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"134","2_13/02/1930","2_13/02/1930_A17","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"135","2_13/02/1930","2_13/02/1930_A53","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
